City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
353,bubaque,11.2833,-15.8333,25.39,87,100,5.11,GW,1724007609
354,arteche,12.2645,125.4048,26.0,85,100,1.26,PH,1724007610
355,laojunmiao,39.8333,97.7333,19.86,20,0,7.22,CN,1724007611
356,jiagedaqi,50.4167,124.1167,11.83,72,58,1.88,CN,1724007612
357,rajpipla,21.8667,73.5,27.38,81,100,2.09,IN,1724007614
358,hammerfest,70.6634,23.6821,16.25,67,100,3.09,NO,1724007615
359,albu kamal,34.45,40.9186,35.93,20,0,2.17,SY,1724007616
360,prado,-17.3411,-39.2208,24.89,70,0,3.59,BR,1724007618
361,trenggalek,-8.05,111.7167,21.79,91,94,1.14,ID,1724007619
362,campo gallo,-26.5833,-62.85,29.95,31,0,1.45,AR,1724007621
363,bathsheba,13.2167,-59.5167,31.34,74,20,5.66,BB,1724007622
364,khovd,48.0056,91.6419,23.03,37,33,2.58,MN,1724007624
